1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
43, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
44, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
45, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
46, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
47, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
48, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
49, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
50, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
51, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
52, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
53, bettermineshafts:mineshaft_acacia, AMBIENT, alexsmobs:underminer, 50, 1, 1
54, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
55, bettermineshafts:mineshaft_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
56, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
57, bettermineshafts:mineshaft_ice, AMBIENT, alexsmobs:underminer, 50, 1, 1
58, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
59, bettermineshafts:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 50, 1, 1
60, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
61, bettermineshafts:mineshaft_lush, AMBIENT, alexsmobs:underminer, 50, 1, 1
62, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
63, bettermineshafts:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
64, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
65, bettermineshafts:mineshaft_mushroom, AMBIENT, alexsmobs:underminer, 50, 1, 1
66, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
67, bettermineshafts:mineshaft_oak, AMBIENT, alexsmobs:underminer, 50, 1, 1
68, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
69, bettermineshafts:mineshaft_red_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
70, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
71, bettermineshafts:mineshaft_spruce, AMBIENT, alexsmobs:underminer, 50, 1, 1
72, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
73, bettermineshafts:mineshaft_spruce_snowy, AMBIENT, alexsmobs:underminer, 50, 1, 1
74, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
75, bettermineshafts:mineshaft_overgrown, AMBIENT, alexsmobs:underminer, 50, 1, 1
76, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
77, bettermineshafts:mineshaft_dripstone, AMBIENT, alexsmobs:underminer, 50, 1, 1
78, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
79, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
80, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 10, 0, 0
81, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
82, bosses_of_mass_destruction:lich_tower, HEADING, header:ignore, 0, 0, 0
83, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
84, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
85, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
86, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
87, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
88, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
89, cataclysm:cursed_pyramid, HEADING, header:ignore, 0, 0, 0
90, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
91, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
92, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
93, cataclysm:soul_black_smith, HEADING, header:ignore, 0, 0, 0
94, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
95, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 10, 1, 1
96, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 10, 1, 1
97, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
98, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 10, 1, 1
99, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
100, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
101, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
102, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
103, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
104, bosses_of_mass_destruction:obsidilith_arena, HEADING, header:ignore, 0, 0, 0
105, cataclysm:ancient_factory, HEADING, header:ignore, 0, 0, 0
106, bosses_of_mass_destruction:void_blossom, HEADING, header:ignore, 0, 0, 0
107, bosses_of_mass_destruction:gauntlet_arena, HEADING, header:ignore, 0, 0, 0
108, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
109, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
110, cataclysm:sunken_city, HEADING, header:ignore, 0, 0, 0
111, cataclysm:burning_arena, HEADING, header:ignore, 0, 0, 0
112, cataclysm:ruined_citadel, HEADING, header:ignore, 0, 0, 0
113, cataclysm:ruined_citadel, MONSTER, cataclysm:endermaptera, 10, 1, 1
114, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
